Time,Label,Data
1.358243,"/swerve/output",0.000000
1.358281,"/swerve/steer_enc",6.171993
1.378227,"/swerve/setpoint",0.000000
1.378518,"/swerve/output",0.000000
1.378707,"/swerve/steer_enc",6.166667
1.398124,"/swerve/setpoint",0.000000
1.398226,"/swerve/output",0.000000
1.398266,"/swerve/steer_enc",6.081562
1.418134,"/swerve/setpoint",0.000000
1.418344,"/swerve/output",0.000000
1.418536,"/swerve/steer_enc",6.081562
1.438119,"/swerve/setpoint",0.000000
1.438219,"/swerve/output",0.000000
1.438258,"/swerve/steer_enc",6.083312
1.458296,"/swerve/setpoint",0.000000
1.458400,"/swerve/output",0.000000
1.458442,"/swerve/steer_enc",6.168441
1.478432,"/swerve/setpoint",0.000000
1.478534,"/swerve/output",0.000000
1.478574,"/swerve/steer_enc",6.079812
1.498119,"/swerve/setpoint",0.000000
1.498223,"/swerve/output",0.000000
1.498262,"/swerve/steer_enc",6.170217
1.518082,"/swerve/setpoint",0.000000
1.518190,"/swerve/output",0.000000
1.518229,"/swerve/steer_enc",6.083312
1.538080,"/swerve/setpoint",0.000000
1.538184,"/swerve/output",0.000000
1.538224,"/swerve/steer_enc",6.166667
1.558212,"/swerve/setpoint",0.000000
1.558315,"/swerve/output",0.000000
1.558354,"/swerve/steer_enc",6.078064
1.578162,"/swerve/setpoint",0.000000
1.578262,"/swerve/output",0.000000
1.578302,"/swerve/steer_enc",6.085064
1.598263,"/swerve/setpoint",0.000000
1.598364,"/swerve/output",0.000000
1.598404,"/swerve/steer_enc",6.081562
1.618293,"/swerve/setpoint",0.000000
1.618396,"/swerve/output",0.000000
1.618435,"/swerve/steer_enc",6.170217
1.638246,"/swerve/setpoint",0.000000
1.638348,"/swerve/output",0.000000
1.638386,"/swerve/steer_enc",6.081562
1.658188,"/swerve/setpoint",0.000000
1.658290,"/swerve/output",0.000000
1.658330,"/swerve/steer_enc",6.081562
1.678180,"/swerve/setpoint",0.000000
1.678281,"/swerve/output",0.000000
1.678322,"/swerve/steer_enc",6.164893
1.698100,"/swerve/setpoint",0.000000
1.698199,"/swerve/output",0.000000
